"R0000100","R0532200","R0536300","R0536402","R0552200","R0690800","R0691200","R1482600","S1249300","T1067500","T3162503","T9110400","U3572700","U4370902","U4370904","U4370905","Z9073400","Z9149100"
1,1,2,1981,21,-4,-4,4,0,0,3,0,-5,-5,-5,-5,-4,0
2,0,1,1982,-4,-4,-4,2,1,-5,7,0,3,0,0,0,-4,0
3,0,2,1983,12,1,-4,2,0,-5,-5,0,5,0,3,0,-4,1
4,0,2,1981,1,-4,-4,2,0,0,1,0,3,0,0,0,-4,0
5,1,1,1982,1,-4,-4,2,0,0,3,0,3,0,0,0,-4,1
6,0,2,1982,1,-4,-4,2,0,0,3,0,3,0,0,0,-4,1
7,0,1,1983,1,-4,0,2,0,-5,-5,-5,1,0,0,0,1,3
8,1,2,1981,1,-4,-4,4,0,0,-5,-5,5,0,2,0,-4,1
9,1,1,1982,1,-4,-4,4,0,0,1,0,6,0,0,0,-4,1
10,1,1,1984,1,-4,0,4,0,0,4,-5,6,1,1,1,-4,1
11,0,2,1982,1,-4,-4,2,0,0,5,0,5,2,2,2,-4,1
12,0,1,1981,1,-4,-4,2,1,0,4,0,2,0,0,0,-4,0
13,0,1,1984,-4,-4,-4,2,0,0,6,0,2,0,0,0,-4,0
14,1,1,1980,1,-4,-4,2,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
15,1,2,1983,-4,-4,-4,2,0,-5,-5,-5,4,0,0,0,-4,0
16,0,1,1982,1,-4,-4,2,0,0,3,0,5,0,0,0,-4,0
17,0,2,1981,1,-4,-4,2,-5,-5,-5,-5,2,0,0,0,-4,0
18,0,1,1982,1,-4,-4,1,0,0,1,0,2,0,0,0,-4,0
19,0,1,1984,1,-4,0,1,0,-5,-5,-5,2,0,0,0,-4,0
20,0,1,1980,1,-4,-4,1,0,-5,-5,-5,-5,-5,-5,-5,-4,2
21,0,1,1982,1,-4,-4,2,0,1,1,0,2,0,0,0,-4,0
22,0,1,1982,1,-4,-4,2,0,0,-5,0,3,0,0,0,1,3
23,0,2,1983,1,0,-4,2,0,0,4,0,5,3,3,0,1,1
24,0,1,1984,11,-4,0,2,0,0,7,0,-5,-5,-5,-5,-4,0
25,1,2,1983,11,0,-4,2,0,0,7,1,1,0,0,0,-4,1
26,0,1,1980,13,-4,-4,1,0,0,7,0,1,0,0,0,-4,0
27,0,1,1981,27,-4,-4,1,0,1,3,0,1,0,0,0,-4,1
28,0,2,1983,13,0,-4,1,1,0,3,0,5,0,1,0,-4,1
29,1,2,1983,17,0,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
30,1,1,1981,1,-4,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
31,1,1,1982,-4,-4,-4,4,0,0,6,0,5,0,0,0,-4,1
32,1,2,1981,-4,-4,-4,4,0,-5,4,0,5,0,0,0,1,3
33,1,2,1980,1,-4,-4,4,0,0,5,0,5,0,1,0,-4,1
34,1,2,1984,16,1,-4,4,0,0,3,0,5,1,3,2,-4,0
35,1,1,1983,-4,-4,-4,4,0,0,3,0,5,0,0,0,-4,0
36,1,2,1980,1,-4,-4,4,0,0,5,0,-5,-5,-5,-5,1,3
37,1,2,1980,1,-4,-4,4,0,0,5,0,5,0,2,1,1,3
38,1,2,1981,1,-4,-4,4,0,0,2,0,5,0,1,0,-4,0
39,1,1,1980,4,-4,-4,2,0,0,3,0,-5,-5,-5,-5,-4,0
40,1,2,1984,-4,-4,-4,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
41,1,2,1983,-4,-4,-4,4,0,0,1,0,5,0,1,0,-4,1
42,1,1,1983,-4,-4,-4,4,0,0,1,-5,-5,-5,-5,-5,-4,0
43,0,2,1981,2,-4,-4,1,0,0,5,0,3,3,1,3,-4,0
44,1,1,1981,6,-4,-4,2,0,0,5,0,3,1,1,1,1,3
45,0,2,1984,25,1,-4,1,0,0,7,0,3,0,0,1,-4,0
46,0,1,1984,25,-4,1,1,0,-5,4,0,1,0,0,0,-4,0
47,0,2,1982,2,-4,-4,1,0,0,5,0,3,0,1,1,-4,0
48,0,2,1983,2,0,-4,1,0,0,1,0,5,0,0,0,-4,0
49,0,2,1982,2,-4,-4,1,0,0,4,0,3,0,0,0,-4,1
50,0,2,1983,2,0,-4,1,0,0,4,0,4,0,3,0,-4,0
51,0,1,1980,1,-4,-4,1,0,0,1,0,3,0,1,0,2,4
52,0,1,1983,1,-4,0,1,0,0,5,0,3,0,0,0,-4,1
53,1,2,1984,2,0,-4,1,0,0,7,0,-5,-5,-5,-5,-4,0
54,0,2,1984,21,0,-4,1,0,0,3,0,4,0,0,0,-4,0
55,1,2,1981,1,-4,-4,2,0,0,3,0,5,1,3,0,-4,1
56,1,2,1982,1,-4,-4,4,0,0,3,0,6,0,0,0,-4,1
57,1,1,1982,1,-4,-4,1,0,0,1,0,3,0,0,0,-4,0
58,1,1,1983,2,-4,0,1,0,-5,5,0,4,0,0,0,-4,0
59,0,2,1981,13,-4,-4,1,0,-2,3,0,4,1,0,2,-4,0
60,0,1,1984,2,-4,0,4,0,0,3,-5,6,0,0,0,-4,0
61,0,2,1983,1,2,-4,1,0,0,4,0,4,2,0,2,1,3
62,1,1,1980,2,-4,-4,1,0,0,1,0,5,0,0,0,-4,1
63,1,2,1984,2,0,-4,1,0,0,6,0,5,0,2,0,1,3
64,1,1,1980,-4,-4,-4,1,0,0,5,-5,3,0,0,0,-4,0
65,1,1,1984,1,-4,0,1,0,0,4,-5,-5,-5,-5,-5,-4,0
66,0,1,1980,13,-4,-4,1,0,0,2,-5,-5,-5,-5,-5,-4,0
67,0,1,1980,13,-4,-4,1,0,0,1,0,8,0,1,0,-4,0
68,0,1,1981,13,-4,-4,1,0,-2,1,0,-5,-5,-5,-5,-4,0
69,1,2,1981,13,-4,-4,1,0,0,2,-5,-5,-5,-5,-5,1,3
