Country or Area,Year,Month,Source Year,Value
United States of America,2019,January,2021,257649
United States of America,2019,February,2021,232821
United States of America,2019,March,2021,254929
United States of America,2019,April,2021,235254
United States of America,2019,May,2021,236893
United States of America,2019,June,2021,225422
United States of America,2019,July,2021,229211
United States of America,2019,August,2021,227280
United States of America,2019,September,2021,222715
United States of America,2019,October,2021,237661
United States of America,2019,November,2021,239028
United States of America,2019,December,2021,255975
United States of America,2018,January,2021,286744
United States of America,2018,February,2021,236998
United States of America,2018,March,2021,248805
United States of America,2018,April,2021,233164
United States of America,2018,May,2021,228772
United States of America,2018,June,2021,220103
United States of America,2018,July,2021,225111
United States of America,2018,August,2021,224254
United States of America,2018,September,2021,218696
United States of America,2018,October,2021,233903
United States of America,2018,November,2021,233375
United States of America,2018,December,2021,249280
United States of America,2017,January,2019,262832
United States of America,2017,February,2019,233819
United States of America,2017,March,2019,251732
United States of America,2017,April,2019,231830
United States of America,2017,May,2019,229670
United States of America,2017,June,2019,218929
United States of America,2017,July,2019,221869
United States of America,2017,August,2019,221887
United States of America,2017,September,2019,220262
United States of America,2017,October,2019,231125
United States of America,2017,November,2019,230891
United States of America,2017,December,2019,258657
United States of America,2016,January,2019,245823
United States of America,2016,February,2019,230021
United States of America,2016,March,2019,244283
United States of America,2016,April,2019,227191
United States of America,2016,May,2019,224528
United States of America,2016,June,2019,213051
United States of America,2016,July,2019,219691
United States of America,2016,August,2019,219911
United States of America,2016,September,2019,214310
United States of America,2016,October,2019,228919
United States of America,2016,November,2019,227313
United States of America,2016,December,2019,249207
United States of America,2015,January,2017,265355
United States of America,2015,February,2017,227047
United States of America,2015,March,2017,242712
United States of America,2015,April,2017,224423
United States of America,2015,May,2017,223600
United States of America,2015,June,2017,211175
United States of America,2015,July,2017,216951
United States of America,2015,August,2017,214404
United States of America,2015,September,2017,209905
United States of America,2015,October,2017,223535
United States of America,2015,November,2017,219788
United States of America,2015,December,2017,233735
United States of America,2014,January,2016,243298
United States of America,2014,February,2016,211980
United States of America,2014,March,2016,228477
United States of America,2014,April,2016,215600
United States of America,2014,May,2016,216862
United States of America,2014,June,2016,204687
United States of America,2014,July,2016,209373
United States of America,2014,August,2016,208013
United States of America,2014,September,2016,205274
United States of America,2014,October,2016,218147
United States of America,2014,November,2016,221317
United States of America,2014,December,2016,243390
United States of America,2013,January,2015,261089
United States of America,2013,February,2015,217614
United States of America,2013,March,2015,232871
United States of America,2013,April,2015,213789
United States of America,2013,May,2015,210076
United States of America,2013,June,2015,200010
United States of America,2013,July,2015,204505
United States of America,2013,August,2015,204585
United States of America,2013,September,2015,198780
United States of America,2013,October,2015,211702
United States of America,2013,November,2015,211850
United States of America,2013,December,2015,230122
United States of America,2012,January,2015,225368
United States of America,2012,February,2015,208962
United States of America,2012,March,2015,221438
United States of America,2012,April,2015,208145
United States of America,2012,May,2015,207931
United States of America,2012,June,2015,198869
United States of America,2012,July,2015,203929
United States of America,2012,August,2015,204648
United States of America,2012,September,2015,200852
United States of America,2012,October,2015,213558
United States of America,2012,November,2015,214201
United States of America,2012,December,2015,235378
United States of America,2008,January,2011,224144
United States of America,2008,February,2011,223567
United States of America,2008,March,2011,232814
United States of America,2008,April,2011,206868
United States of America,2008,May,2011,202543
United States of America,2008,June,2011,190683
United States of America,2008,July,2011,192072
United States of America,2008,August,2011,192028
United States of America,2008,September,2011,187958
United States of America,2008,October,2011,200585
United States of America,2008,November,2011,201606
United States of America,2008,December,2011,218150
United States of America,2006,January,2008,220085
United States of America,2006,February,2008,201034
United States of America,2006,March,2008,222198
United States of America,2006,April,2008,202085
United States of America,2006,May,2008,200628
United States of America,2006,June,2008,188402
United States of America,2006,July,2008,194576
United States of America,2006,August,2008,190968
United States of America,2006,September,2008,188178
United States of America,2006,October,2008,202201
United States of America,2006,November,2008,200453
United States of America,2006,December,2008,215456
United States of America,2005,January,2008,226433
United States of America,2005,February,2008,213336
United States of America,2005,March,2008,231095
United States of America,2005,April,2008,204835
United States of America,2005,May,2008,200826
United States of America,2005,June,2008,187375
United States of America,2005,July,2008,191366
United States of America,2005,August,2008,190791
United States of America,2005,September,2008,185480
United States of America,2005,October,2008,198014
United States of America,2005,November,2008,198613
United States of America,2005,December,2008,219853
United States of America,2004,January,2007,238085
United States of America,2004,February,2007,204474
United States of America,2004,March,2007,210338
United States of America,2004,April,2007,196664
United States of America,2004,May,2007,194756
United States of America,2004,June,2007,186578
United States of America,2004,July,2007,191099
United States of America,2004,August,2007,189725
United States of America,2004,September,2007,184769
United States of America,2004,October,2007,198484
United States of America,2004,November,2007,194091
United States of America,2004,December,2007,212337
United States of America,2003,January,2005,224122
United States of America,2003,February,2005,200529
United States of America,2003,March,2005,213548
United States of America,2003,April,2005,199379
United States of America,2003,May,2005,199161
United States of America,2003,June,2005,191526
United States of America,2003,July,2005,193630
United States of America,2003,August,2005,192520
United States of America,2003,September,2005,188503
United States of America,2003,October,2005,202794
United States of America,2003,November,2005,201078
United States of America,2003,December,2005,241498
United States of America,2002,January,2005,225981
United States of America,2002,February,2005,209433
United States of America,2002,March,2005,226471
United States of America,2002,April,2005,199782
United States of America,2002,May,2005,199866
United States of America,2002,June,2005,187688
United States of America,2002,July,2005,193274
United States of America,2002,August,2005,191023
United States of America,2002,September,2005,187561
United States of America,2002,October,2005,199975
United States of America,2002,November,2005,202310
United States of America,2002,December,2005,220023
United States of America,2001,January,2003,226976
United States of America,2001,February,2003,198968
United States of America,2001,March,2003,215850
United States of America,2001,April,2003,203027
United States of America,2001,May,2003,200929
United States of America,2001,June,2003,191547
United States of America,2001,July,2003,191578
United States of America,2001,August,2003,191284
United States of America,2001,September,2003,189107
United States of America,2001,October,2003,202679
United States of America,2001,November,2003,197400
United States of America,2001,December,2003,210615
United States of America,2000,January,2002,248182
United States of America,2000,February,2002,203662
United States of America,2000,March,2002,202178
United States of America,2000,April,2002,190735
United States of America,2000,May,2002,193440
United States of America,2000,June,2002,183446
United States of America,2000,July,2002,188900
United States of America,2000,August,2002,189023
United States of America,2000,September,2002,187271
United States of America,2000,October,2002,200102
United States of America,2000,November,2002,199582
United States of America,2000,December,2002,220672
United States of America,1998,January,2000,233237
United States of America,1998,February,2000,204453
United States of America,1998,March,2000,205691
United States of America,1998,April,2000,186808
United States of America,1998,May,2000,188120
United States of America,1998,June,2000,181429
United States of America,1998,July,2000,184149
United States of America,1998,August,2000,183556
United States of America,1998,September,2000,177915
United States of America,1998,October,2000,193421
United States of America,1998,November,2000,192465
United States of America,1998,December,2000,206012
United States of America,1996,January,1998,221525
United States of America,1996,February,1998,193228
United States of America,1996,March,1998,203057
United States of America,1996,April,1998,191779
United States of America,1996,May,1998,188184
United States of America,1996,June,1998,178208
United States of America,1996,July,1998,181964
United States of America,1996,August,1998,178952
United States of America,1996,September,1998,175586
United States of America,1996,October,1998,190326
United States of America,1996,November,1998,190670
United States of America,1996,December,1998,221211
United States of America,1995,January,1997,210713
United States of America,1995,February,1997,192267
United States of America,1995,March,1997,207231
United States of America,1995,April,1997,191092
United States of America,1995,May,1997,189556
United States of America,1995,June,1997,179336
United States of America,1995,July,1997,185465
United States of America,1995,August,1997,182337
United States of America,1995,September,1997,177642
United States of America,1995,October,1997,189765
United States of America,1995,November,1997,192514
United States of America,1995,December,1997,214214
United States of America,1993,January,1995,200803
United States of America,1993,February,1995,188018
United States of America,1993,March,1995,212568
United States of America,1993,April,1995,189985
United States of America,1993,May,1995,185450
United States of America,1993,June,1995,175530
United States of America,1993,July,1995,181405
United States of America,1993,August,1995,176532
United States of America,1993,September,1995,173199
United States of America,1993,October,1995,189198
United States of America,1993,November,1995,188012
United States of America,1993,December,1995,211247
United States of America,1992,January,1993,207000
United States of America,1992,February,1993,185000
United States of America,1992,March,1993,195000
United States of America,1992,April,1993,181000
United States of America,1992,May,1993,175000
United States of America,1992,June,1993,172000
United States of America,1992,July,1993,180000
United States of America,1992,August,1993,172000
United States of America,1992,September,1993,169000
United States of America,1992,October,1993,181000
United States of America,1992,November,1993,175000
United States of America,1992,December,1993,186000
United States of America,1991,January,1992,195000
United States of America,1991,February,1992,179000
United States of America,1991,March,1992,191000
United States of America,1991,April,1992,185000
United States of America,1991,May,1992,183000
United States of America,1991,June,1992,168000
United States of America,1991,July,1992,178000
United States of America,1991,August,1992,172000
United States of America,1991,September,1992,165000
United States of America,1991,October,1992,180000
United States of America,1991,November,1992,176000
United States of America,1991,December,1992,191000
United States of America,1990,January,1991,213000
United States of America,1990,February,1991,182000
United States of America,1990,March,1991,193000
United States of America,1990,April,1991,182000
United States of America,1990,May,1991,180000
United States of America,1990,June,1991,169000
United States of America,1990,July,1991,173000
United States of America,1990,August,1991,170000
United States of America,1990,September,1991,168000
United States of America,1990,October,1991,178000
United States of America,1990,November,1991,169000
United States of America,1990,December,1991,185000
United States of America,1989,January,1991,197780
United States of America,1989,February,1991,182374
United States of America,1989,March,1991,192680
United States of America,1989,April,1991,174682
United States of America,1989,May,1991,175422
United States of America,1989,June,1991,165174
United States of America,1989,July,1991,169048
United States of America,1989,August,1991,168135
United States of America,1989,September,1991,165225
United States of America,1989,October,1991,178722
United States of America,1989,November,1991,175827
United States of America,1989,December,1991,205397
United States of America,1988,January,1990,200610
United States of America,1988,February,1990,195000
United States of America,1988,March,1990,197995
United States of America,1988,April,1990,184000
United States of America,1988,May,1990,176806
United States of America,1988,June,1990,170000
United States of America,1988,July,1990,172193
United States of America,1988,August,1990,170000
United States of America,1988,September,1990,166201
United States of America,1988,October,1990,179000
United States of America,1988,November,1990,175198
United States of America,1988,December,1990,185000
United States of America,1987,January,1990,196235
United States of America,1987,February,1990,170273
United States of America,1987,March,1990,186651
United States of America,1987,April,1990,175249
United States of America,1987,May,1990,174902
United States of America,1987,June,1990,167327
United States of America,1987,July,1990,171935
United States of America,1987,August,1990,170028
United States of America,1987,September,1990,164838
United States of America,1987,October,1990,180733
United States of America,1987,November,1990,175679
United States of America,1987,December,1990,189473
United States of America,1986,January,1988,194612
United States of America,1986,February,1988,178283
United States of America,1986,March,1988,189897
United States of America,1986,April,1988,172481
United States of America,1986,May,1988,172185
United States of America,1986,June,1988,163514
United States of America,1986,July,1988,169943
United States of America,1986,August,1988,165977
United States of America,1986,September,1988,163100
United States of America,1986,October,1988,172586
United States of America,1986,November,1988,174412
United States of America,1986,December,1988,188371
United States of America,1985,January,1987,201346
United States of America,1985,February,1987,184029
United States of America,1985,March,1987,182616
United States of America,1985,April,1987,168848
United States of America,1985,May,1987,168374
United States of America,1985,June,1987,160838
United States of America,1985,July,1987,164700
United States of America,1985,August,1987,162492
United States of America,1985,September,1987,161563
United States of America,1985,October,1987,172307
United States of America,1985,November,1987,170082
United States of America,1985,December,1987,189245
United States of America,1984,January,1986,183413
United States of America,1984,February,1986,169109
United States of America,1984,March,1986,181236
United States of America,1984,April,1986,171392
United States of America,1984,May,1986,169617
United States of America,1984,June,1986,161977
United States of America,1984,July,1986,161591
United States of America,1984,August,1986,160635
United States of America,1984,September,1986,158323
United States of America,1984,October,1986,167970
United States of America,1984,November,1986,170293
United States of America,1984,December,1986,183813
United States of America,1983,January,1986,181652
United States of America,1983,February,1986,167990
United States of America,1983,March,1986,178647
United States of America,1983,April,1986,169486
United States of America,1983,May,1986,167136
United States of America,1983,June,1986,157911
United States of America,1983,July,1986,164657
United States of America,1983,August,1986,160071
United States of America,1983,September,1986,155560
United States of America,1983,October,1986,166371
United States of America,1983,November,1986,166422
United States of America,1983,December,1986,183298
United States of America,1982,January,1987,179636
United States of America,1982,February,1987,154481
United States of America,1982,March,1987,173331
United States of America,1982,April,1987,168640
United States of America,1982,May,1987,166718
United States of America,1982,June,1987,156254
United States of America,1982,July,1987,162778
United States of America,1982,August,1987,157897
United States of America,1982,September,1987,154988
United States of America,1982,October,1987,165758
United States of America,1982,November,1987,161640
United States of America,1982,December,1987,172676
United States of America,1981,January,1982,202806
United States of America,1981,February,1982,161587
United States of America,1981,March,1982,168845
United States of America,1981,April,1982,158870
United States of America,1981,May,1982,162035
United States of America,1981,June,1982,154531
United States of America,1981,July,1982,158798
United States of America,1981,August,1982,156703
United States of America,1981,September,1982,152139
United States of America,1981,October,1982,165582
United States of America,1981,November,1982,161525
United States of America,1981,December,1982,174560
United States of America,1980,January,1983,176095
United States of America,1980,February,1983,173686
United States of America,1980,March,1983,177093
United States of America,1980,April,1983,159853
United States of America,1980,May,1983,160081
United States of America,1980,June,1983,154246
United States of America,1980,July,1983,163477
United States of America,1980,August,1983,157364
United States of America,1980,September,1983,150983
United States of America,1980,October,1983,163601
United States of America,1980,November,1983,163950
United States of America,1980,December,1983,189412
